MONUMENT_ID,Name,Item Category,URI,Citation_URI,Thumbnail,Longitude,Latitude,City _ID,Excavation_ID
133,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/46e574ee-6d60-4c9c-8d1e-85466eef40dc,https://n2t.net/ark:/28722/k2z03hx17,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.016.jpg,31.2565,30.04307,2,2
134,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/6d716b91-2aac-4844-9395-c95a6c794c9a,https://n2t.net/ark:/28722/k2tt51f5w,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.139.jpg,31.2565,30.04307,2,2
135,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/f71c277d-868a-4978-a085-72769c5b27fd,https://n2t.net/ark:/28722/k2b56zs4j,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.019.jpg,31.2565,30.04307,2,2
136,Fakahani Mosque,Image media,http://opencontext.org/media/9395a81b-623b-4c8d-856e-3a3e943e865c,https://n2t.net/ark:/28722/k2xp7dr3t,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.163.jpg,31.25909,30.04432,2,2
137,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/af1117fb-84b4-49ce-921c-6e8350ea7e9f,https://n2t.net/ark:/28722/k22n5j54g,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.017.jpg,31.2565,30.04307,2,2
138,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/b71eb738-28b4-4108-b209-4aabb78e1b04,https://n2t.net/ark:/28722/k2zw1vd9q,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.024.jpg,31.2565,30.04307,2,2
139,Sabil-kuttab of Shaykh Mutahhar,Image media,http://opencontext.org/media/efe63395-1e6f-4170-ab07-9351fd022d9c,https://n2t.net/ark:/28722/k2df74r00,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.097.jpg,31.2603,30.04772,2,2
140,Fakahani Mosque,Image media,http://opencontext.org/media/1618a5be-1b8f-4c30-b275-de3c8549121d,https://n2t.net/ark:/28722/k2902j37h,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.158.jpg,31.25909,30.04432,2,2
141,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/0325fbda-d555-4897-90ab-185967037082,https://n2t.net/ark:/28722/k2fx7pk7w,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.020.jpg,31.2565,30.04307,2,2
142,Fakahani Mosque,Image media,http://opencontext.org/media/5f541563-5703-4455-b41f-e5b96d6e8944,https://n2t.net/ark:/28722/k2dr37w9z,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.159.jpg,31.25909,30.04432,2,2
143,Sabil-kuttab of Yusuf Agha Dar al-Sa’ada,Image media,http://opencontext.org/media/0b32f0b5-39b0-4f1b-a69c-3c1e8639bab8,https://n2t.net/ark:/28722/k22239t6f,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.071.jpg,31.25965,30.04074,2,2
144,Fakahani Mosque,Image media,http://opencontext.org/media/b0c2b123-dd98-4312-8354-f54151fc3d42,https://n2t.net/ark:/28722/k2hq4bm3p,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.005.jpg,31.25909,30.04432,2,2
145,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/4a3e7825-0094-4f6a-b536-335f2ff8dad6,https://n2t.net/ark:/28722/k2jq1ch0g,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.013.jpg,31.2565,30.04307,2,2
146,Sabil-kuttab of Yusuf Agha Dar al-Sa’ada,Image media,http://opencontext.org/media/33c41863-84f2-4ebe-b0bc-b8055707482f,https://n2t.net/ark:/28722/k25q5b76g,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.072.jpg,31.25965,30.04074,2,2
